,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,3489.67,39.4829276,-106.1487421,2.867,2.479,8.867,1,109206,SG,20241130T201817100000
1,3489.247,39.4829355,-106.1487391,3.037,2.553,8.701,1,109206,SG,20241130T201817200000
2,3488.934,39.482944,-106.148737,3.009,1.798,9.251,1,109206,SG,20241130T201817300000
3,3488.808,39.4829539,-106.1487347,2.668,1.758,10.637,1,109206,SG,20241130T201817400000
4,3488.639,39.4829629,-106.1487325,2.457,1.825,9.976,1,109206,SG,20241130T201817500000
5,3488.379,39.4829724,-106.1487303,2.456,1.782,10.451,1,109206,SG,20241130T201817600000
6,3487.991,39.4829822,-106.1487278,2.652,2.139,10.616,1,109206,SG,20241130T201817700000
7,3487.639,39.4829915,-106.1487251,2.76,2.232,10.314,1,109206,SG,20241130T201817800000
8,3487.28,39.4830011,-106.1487218,2.858,2.698,10.496,1,109206,SG,20241130T201817900000
9,3487.149,39.4830111,-106.1487174,2.555,3.527,10.885,1,109206,SG,20241130T201818000000
10,3487.097,39.483021,-106.1487138,2.173,3.06,10.972,1,109206,SG,20241130T201818100000
11,3486.889,39.4830311,-106.1487103,2.11,3.025,11.086,1,109206,SG,20241130T201818200000
12,3486.559,39.4830418,-106.1487066,2.281,3.066,11.679,1,109206,SG,20241130T201818300000
13,3486.208,39.4830523,-106.1487034,2.459,2.791,11.478,1,109206,SG,20241130T201818400000
14,3485.782,39.4830629,-106.1487,2.74,2.747,11.626,1,109206,SG,20241130T201818500000
15,3485.504,39.4830733,-106.1486977,2.702,2.046,11.539,1,109206,SG,20241130T201818600000
16,3485.369,39.4830852,-106.1486952,2.424,2.026,12.748,1,109206,SG,20241130T201818700000
17,3485.154,39.4830965,-106.1486929,2.335,1.899,12.576,1,109206,SG,20241130T201818800000
18,3484.884,39.4831076,-106.1486905,2.38,2.033,12.275,1,109206,SG,20241130T201818900000
19,3484.582,39.4831185,-106.1486879,2.478,2.095,12.142,1,109206,SG,20241130T201819000000
20,3484.286,39.4831294,-106.1486851,2.529,2.373,12.062,1,109206,SG,20241130T201819100000
21,3484.111,39.4831407,-106.148681,2.369,3.404,12.401,1,109206,SG,20241130T201819200000
22,3483.967,39.4831523,-106.1486773,2.2,3.159,12.817,1,109206,SG,20241130T201819300000
23,3483.785,39.4831641,-106.1486733,2.127,3.317,13.088,1,109206,SG,20241130T201819400000
24,3483.481,39.4831761,-106.1486697,2.261,3.086,13.186,1,109206,SG,20241130T201819500000
25,3483.123,39.4831884,-106.1486665,2.456,2.741,13.48,1,109206,SG,20241130T201819600000
26,3482.809,39.4832003,-106.1486627,2.55,3.137,13.178,1,109206,SG,20241130T201819700000
27,3482.574,39.4832122,-106.1486605,2.482,1.94,13.187,1,109206,SG,20241130T201819800000
28,3482.523,39.4832246,-106.148658,2.105,2.035,13.721,1,109206,SG,20241130T201819900000
29,3482.457,39.4832369,-106.1486553,1.845,2.194,13.681,1,109206,SG,20241130T201820000000
30,3482.325,39.483249,-106.1486524,1.732,2.377,13.427,1,109206,SG,20241130T201820100000
31,3482.095,39.4832612,-106.1486496,1.807,2.394,13.532,1,109206,SG,20241130T201820200000
32,3481.804,39.4832734,-106.1486469,1.995,2.301,13.47,1,109206,SG,20241130T201820300000
33,3481.575,39.4832854,-106.1486432,2.046,2.993,13.34,1,109206,SG,20241130T201820400000
34,3481.489,39.483298,-106.1486379,1.817,4.266,13.854,1,109206,SG,20241130T201820500000
35,3481.366,39.4833103,-106.1486334,1.709,3.897,13.714,1,109206,SG,20241130T201820600000
36,3481.275,39.4833226,-106.1486285,1.569,4.174,13.713,1,109206,SG,20241130T201820700000
37,3481.147,39.4833349,-106.1486239,1.511,3.965,13.697,1,109206,SG,20241130T201820800000
38,3480.998,39.4833472,-106.1486198,1.495,3.617,13.737,1,109206,SG,20241130T201820900000
39,3480.83,39.4833598,-106.1486161,1.513,3.331,13.898,1,109206,SG,20241130T201821000000
40,3480.609,39.4833722,-106.148612,1.608,3.442,13.776,1,109206,SG,20241130T201821100000
41,3480.437,39.4833841,-106.1486073,1.62,3.804,13.331,1,109206,SG,20241130T201821200000
42,3480.392,39.4833965,-106.1486012,1.447,4.825,13.782,1,109206,SG,20241130T201821300000
43,3480.327,39.4834083,-106.148596,1.335,4.5,13.385,1,109206,SG,20241130T201821400000
44,3480.253,39.4834208,-106.1485906,1.243,4.562,13.75,1,109206,SG,20241130T201821500000
45,3480.104,39.4834328,-106.148585,1.267,4.69,13.465,1,109206,SG,20241130T201821600000
46,3479.882,39.4834449,-106.1485799,1.388,4.446,13.37,1,109206,SG,20241130T201821700000
47,3479.715,39.4834568,-106.1485757,1.422,3.729,13.242,1,109206,SG,20241130T201821800000
48,3479.664,39.4834694,-106.1485719,1.301,3.367,13.842,1,109206,SG,20241130T201821900000
49,3479.642,39.4834821,-106.1485683,1.16,3.169,14.08,1,109206,SG,20241130T201822000000
50,3479.54,39.483495,-106.1485649,1.135,2.959,14.241,1,109206,SG,20241130T201822100000
51,3479.311,39.4835073,-106.148561,1.271,3.18,13.735,1,109206,SG,20241130T201822200000
52,3479.075,39.4835199,-106.1485574,1.404,3.05,13.828,1,109206,SG,20241130T201822300000
53,3478.772,39.4835322,-106.1485533,1.603,3.304,13.642,1,109206,SG,20241130T201822400000
54,3478.602,39.4835444,-106.1485477,1.607,4.459,13.555,1,109206,SG,20241130T201822500000
55,3478.522,39.4835569,-106.1485423,1.509,4.561,13.794,1,109206,SG,20241130T201822600000
56,3478.387,39.4835694,-106.1485369,1.487,4.556,13.861,1,109206,SG,20241130T201822700000
57,3478.156,39.483582,-106.1485315,1.584,4.568,13.976,1,109206,SG,20241130T201822800000
58,3477.82,39.4835943,-106.1485267,1.797,4.174,13.721,1,109206,SG,20241130T201822900000
59,3477.322,39.483607,-106.1485214,2.184,4.288,13.983,1,109206,SG,20241130T201823000000
60,3476.881,39.4836195,-106.1485169,2.451,3.832,13.877,1,109206,SG,20241130T201823100000
61,3476.534,39.4836324,-106.1485136,2.581,2.865,14.154,1,109206,SG,20241130T201823200000
62,3476.3,39.4836465,-106.1485103,2.546,2.82,15.329,1,109206,SG,20241130T201823300000
63,3476.012,39.48366,-106.1485068,2.586,2.931,15.037,1,109206,SG,20241130T201823400000
64,3475.682,39.4836734,-106.1485037,2.673,2.705,14.924,1,109206,SG,20241130T201823500000
65,3475.357,39.4836868,-106.1485002,2.747,2.892,14.894,1,109206,SG,20241130T201823600000
66,3475.042,39.4837003,-106.1484969,2.792,2.856,14.975,1,109206,SG,20241130T201823700000
67,3474.661,39.4837141,-106.1484939,2.93,2.531,15.228,1,109206,SG,20241130T201823800000
68,3474.259,39.483728,-106.1484912,3.072,2.307,15.308,1,109206,SG,20241130T201823900000
69,3473.876,39.4837422,-106.1484893,3.17,1.735,15.662,1,109206,SG,20241130T201824000000
70,3473.495,39.4837565,-106.1484879,3.253,1.252,15.807,1,109206,SG,20241130T201824100000
71,3473.124,39.4837709,-106.1484869,3.314,0.886,15.941,1,109206,SG,20241130T201824200000
72,3472.762,39.4837853,-106.1484861,3.355,0.649,16.035,1,109206,SG,20241130T201824300000
73,3472.392,39.4837999,-106.1484857,3.405,0.334,16.151,1,109206,SG,20241130T201824400000
74,3472.005,39.4838147,-106.1484859,3.469,-0.049,16.365,1,109206,SG,20241130T201824500000
75,3471.627,39.4838295,-106.1484862,3.508,-0.271,16.436,1,109206,SG,20241130T201824600000
76,3471.231,39.4838446,-106.1484868,3.562,-0.496,16.636,1,109206,SG,20241130T201824700000
77,3470.844,39.4838596,-106.1484873,3.598,-0.468,16.691,1,109206,SG,20241130T201824800000
78,3470.425,39.4838749,-106.1484882,3.676,-0.809,16.902,1,109206,SG,20241130T201824900000
79,3470.03,39.4838902,-106.1484893,3.718,-0.976,17.014,1,109206,SG,20241130T201825000000
80,3469.647,39.4839057,-106.1484903,3.728,-0.909,17.16,1,109206,SG,20241130T201825100000
81,3469.232,39.4839211,-106.1484916,3.778,-1.048,17.132,1,109206,SG,20241130T201825200000
82,3468.779,39.4839367,-106.1484928,3.873,-1.118,17.253,1,109206,SG,20241130T201825300000
83,3468.312,39.4839524,-106.1484942,3.967,-1.171,17.4,1,109206,SG,20241130T201825400000
84,3467.849,39.483968,-106.1484953,4.047,-1.03,17.372,1,109206,SG,20241130T201825500000
85,3467.288,39.483984,-106.1484966,4.236,-1.12,17.635,1,109206,SG,20241130T201825600000
86,3466.725,39.484,-106.1484977,4.398,-1.023,17.652,1,109206,SG,20241130T201825700000
87,3466.158,39.484016,-106.1484988,4.549,-0.983,17.71,1,109206,SG,20241130T201825800000
88,3465.592,39.4840321,-106.1484997,4.676,-0.886,17.827,1,109206,SG,20241130T201825900000
89,3465.001,39.4840485,-106.1485006,4.818,-0.813,18.08,1,109206,SG,20241130T201826000000
90,3464.362,39.4840653,-106.1485016,5,-0.858,18.397,1,109206,SG,20241130T201826100000
91,3463.76,39.484082,-106.1485025,5.121,-0.821,18.502,1,109206,SG,20241130T201826200000
92,3463.16,39.484099,-106.148503,5.227,-0.602,18.768,1,109206,SG,20241130T201826300000
93,3462.531,39.4841164,-106.1485037,5.349,-0.612,19.109,1,109206,SG,20241130T201826400000
94,3461.942,39.4841339,-106.148504,5.411,-0.342,19.339,1,109206,SG,20241130T201826500000
95,3461.37,39.4841516,-106.1485039,5.446,-0.105,19.569,1,109206,SG,20241130T201826600000
96,3460.791,39.4841696,-106.1485033,5.482,0.328,19.82,1,109206,SG,20241130T201826700000
97,3460.24,39.4841877,-106.1485023,5.476,0.689,20.017,1,109206,SG,20241130T201826800000
98,3459.726,39.4842059,-106.1485008,5.429,1.125,20.171,1,109206,SG,20241130T201826900000
99,3459.289,39.4842242,-106.1484982,5.295,1.915,20.388,1,109206,SG,20241130T201827000000
100,3458.819,39.4842426,-106.1484952,5.214,2.435,20.454,1,109206,SG,20241130T201827100000
101,3458.427,39.484261,-106.1484912,5.053,3.13,20.46,1,109206,SG,20241130T201827200000
102,3458.018,39.4842793,-106.1484861,4.926,4.044,20.372,1,109206,SG,20241130T201827300000
103,3457.61,39.4842974,-106.1484803,4.819,4.667,20.272,1,109206,SG,20241130T201827400000
104,3457.24,39.4843155,-106.1484735,4.674,5.423,20.218,1,109206,SG,20241130T201827500000
105,3456.883,39.4843334,-106.1484659,4.534,6.169,20.021,1,109206,SG,20241130T201827600000
106,3456.485,39.4843511,-106.1484577,4.458,6.674,19.84,1,109206,SG,20241130T201827700000
107,3456.139,39.4843687,-106.1484489,4.336,7.209,19.664,1,109206,SG,20241130T201827800000
108,3455.792,39.4843861,-106.1484391,4.232,7.933,19.508,1,109206,SG,20241130T201827900000
109,3455.424,39.4844036,-106.1484294,4.166,8.133,19.449,1,109206,SG,20241130T201828000000
110,3455.101,39.4844207,-106.1484193,4.054,8.404,19.222,1,109206,SG,20241130T201828100000
111,3454.712,39.4844383,-106.1484094,4.025,8.421,19.421,1,109206,SG,20241130T201828200000
112,3454.348,39.4844557,-106.1483995,3.974,8.467,19.331,1,109206,SG,20241130T201828300000
113,3454.024,39.484473,-106.1483896,3.877,8.346,19.278,1,109206,SG,20241130T201828400000
114,3453.62,39.4844905,-106.1483803,3.885,8.115,19.38,1,109206,SG,20241130T201828500000
115,3453.222,39.4845083,-106.1483712,3.894,7.849,19.587,1,109206,SG,20241130T201828600000
116,3452.857,39.4845259,-106.1483624,3.864,7.607,19.53,1,109206,SG,20241130T201828700000
117,3452.434,39.4845439,-106.1483543,3.903,7.128,19.866,1,109206,SG,20241130T201828800000
118,3452.014,39.4845621,-106.1483467,3.935,6.651,20.15,1,109206,SG,20241130T201828900000
119,3451.69,39.4845805,-106.1483399,3.858,5.967,20.328,1,109206,SG,20241130T201829000000
120,3451.298,39.4845989,-106.1483336,3.862,5.491,20.409,1,109206,SG,20241130T201829100000
121,3450.891,39.4846177,-106.1483284,3.883,4.694,20.652,1,109206,SG,20241130T201829200000
122,3450.519,39.4846364,-106.1483236,3.863,4.24,20.718,1,109206,SG,20241130T201829300000
123,3450.116,39.4846553,-106.1483198,3.881,3.47,20.909,1,109206,SG,20241130T201829400000
124,3449.744,39.4846742,-106.1483167,3.858,2.829,20.989,1,109206,SG,20241130T201829500000
125,3449.324,39.4846934,-106.1483146,3.899,2.028,21.232,1,109206,SG,20241130T201829600000
126,3448.966,39.4847126,-106.1483135,3.854,1.219,21.314,1,109206,SG,20241130T201829700000
127,3448.614,39.4847318,-106.1483129,3.807,0.658,21.288,1,109206,SG,20241130T201829800000
128,3448.274,39.4847511,-106.1483131,3.754,0.001,21.351,1,109206,SG,20241130T201829900000
129,3447.922,39.4847703,-106.1483142,3.725,-0.695,21.322,1,109206,SG,20241130T201830000000
130,3447.603,39.4847897,-106.1483157,3.655,-1.189,21.434,1,109206,SG,20241130T201830100000
131,3447.223,39.484809,-106.1483173,3.665,-1.359,21.48,1,109206,SG,20241130T201830200000
132,3446.823,39.4848283,-106.1483191,3.697,-1.545,21.389,1,109206,SG,20241130T201830300000
133,3446.454,39.4848477,-106.1483212,3.69,-1.79,21.509,1,109206,SG,20241130T201830400000
134,3446.063,39.484867,-106.1483233,3.712,-1.851,21.463,1,109206,SG,20241130T201830500000
135,3445.619,39.4848864,-106.1483255,3.788,-1.928,21.509,1,109206,SG,20241130T201830600000
136,3445.175,39.4849058,-106.1483277,3.86,-1.936,21.614,1,109206,SG,20241130T201830700000
137,3444.707,39.4849254,-106.1483299,3.952,-1.95,21.738,1,109206,SG,20241130T201830800000
138,3444.168,39.4849449,-106.1483318,4.117,-1.817,21.693,1,109206,SG,20241130T201830900000
139,3443.61,39.4849645,-106.1483336,4.281,-1.671,21.824,1,109206,SG,20241130T201831000000
140,3443.057,39.4849841,-106.1483349,4.421,-1.332,21.896,1,109206,SG,20241130T201831100000
141,3442.489,39.4850038,-106.1483361,4.566,-1.194,21.931,1,109206,SG,20241130T201831200000
