,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
663,2740.066,46.5051157,9.8015724,1.579,5.487,-2.798,2,110587,-,20250319T125433500000
664,2739.939,46.5051131,9.8015795,1.551,5.453,-2.86,2,110587,-,20250319T125433600000
665,2739.886,46.5051102,9.8015871,1.464,5.549,-3.035,2,110587,-,20250319T125433700000
666,2739.861,46.505107,9.8015948,1.361,5.658,-3.313,2,110587,-,20250319T125433800000
667,2740.01,46.5051041,9.8016021,1.123,5.392,-3.282,2,110587,-,20250319T125433900000
668,2740.389,46.5051012,9.8016089,0.718,4.898,-3.331,2,110587,-,20250319T125434000000
669,2740.736,46.5050985,9.8016157,0.378,4.811,-3.211,2,110587,-,20250319T125434100000
670,2740.903,46.505096,9.8016228,0.218,4.979,-3.038,2,110587,-,20250319T125434200000
671,2741.063,46.5050936,9.801629,0.074,4.734,-2.891,2,110587,-,20250319T125434300000
672,2741.206,46.5050914,9.8016337,-0.04,4.048,-2.786,2,110587,-,20250319T125434400000
673,2741.313,46.5050895,9.8016392,-0.134,4.076,-2.506,2,110587,-,20250319T125434500000
674,2741.208,46.5050876,9.8016453,-0.044,4.538,-2.379,2,110587,-,20250319T125434600000
675,2740.989,46.5050858,9.8016508,0.125,4.57,-2.158,2,110587,-,20250319T125434700000
676,2740.778,46.5050839,9.8016564,0.286,4.496,-2.181,2,110587,-,20250319T125434800000
677,2740.358,46.5050818,9.8016624,0.596,4.864,-2.089,2,110587,-,20250319T125434900000
678,2739.929,46.5050795,9.8016683,0.887,4.908,-2.301,2,110587,-,20250319T125435000000
679,2739.574,46.505077,9.8016745,1.094,4.992,-2.53,2,110587,-,20250319T125435100000
680,2739.338,46.5050746,9.8016809,1.192,5.064,-2.644,2,110587,-,20250319T125435200000
681,2739.085,46.505072,9.801688,1.299,5.439,-2.763,2,110587,-,20250319T125435300000
682,2738.942,46.5050691,9.8016961,1.314,5.954,-3.029,2,110587,-,20250319T125435400000
683,2738.89,46.5050664,9.801704,1.253,5.986,-3.106,2,110587,-,20250319T125435500000
