,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
599,2741.093,46.5051035,9.801563,1.785,5.582,-2.358,2,110588,-,20250319T115504900000
600,2740.868,46.5051008,9.8015704,1.851,5.653,-2.737,2,110588,-,20250319T115505000000
601,2740.717,46.5050981,9.8015781,1.82,5.845,-2.885,2,110588,-,20250319T115505100000
602,2740.661,46.505095,9.8015859,1.682,5.787,-3.245,2,110588,-,20250319T115505200000
603,2740.667,46.5050916,9.8015938,1.489,5.841,-3.611,2,110588,-,20250319T115505300000
604,2740.742,46.5050881,9.8016017,1.243,5.888,-3.84,2,110588,-,20250319T115505400000
605,2741.133,46.5050855,9.8016101,0.688,5.885,-3.492,2,110588,-,20250319T115505500000
606,2741.8,46.5050827,9.8016191,-0.106,6.263,-3.601,2,110588,-,20250319T115505600000
607,2742.086,46.5050803,9.8016262,-0.396,5.434,-3.016,2,110588,-,20250319T115505700000
608,2742.544,46.5050787,9.8016323,-0.847,4.56,-2.275,2,110588,-,20250319T115505800000
609,2742.828,46.505077,9.8016383,-1.063,4.472,-2.14,2,110588,-,20250319T115505900000
610,2742.755,46.5050746,9.8016449,-0.858,5.109,-2.385,2,110588,-,20250319T115506000000
611,2742.53,46.5050724,9.8016516,-0.492,5.236,-2.27,2,110588,-,20250319T115506100000
612,2742.253,46.50507,9.801658,-0.096,5.08,-2.413,2,110588,-,20250319T115506200000
613,2741.99,46.5050677,9.8016642,0.252,4.9,-2.395,2,110588,-,20250319T115506300000
614,2741.649,46.5050657,9.8016705,0.665,4.967,-2.159,2,110588,-,20250319T115506400000
615,2741.373,46.5050635,9.8016767,0.947,4.882,-2.275,2,110588,-,20250319T115506500000
616,2741.112,46.5050616,9.8016833,1.176,5.092,-2.194,2,110588,-,20250319T115506600000
617,2740.927,46.5050591,9.8016905,1.278,5.519,-2.633,2,110588,-,20250319T115506700000
618,2740.759,46.5050564,9.8016994,1.344,6.606,-3.05,2,110588,-,20250319T115506800000
619,2740.783,46.505053,9.8017082,1.132,6.637,-3.602,2,110588,-,20250319T115506900000
620,2740.698,46.5050496,9.8017185,1.094,7.735,-3.845,2,110588,-,20250319T115507000000
621,2740.151,46.5050455,9.8017302,1.707,9.056,-4.365,2,110588,-,20250319T115507100000
622,2739.745,46.5050422,9.8017401,2.042,7.94,-3.797,2,110588,-,20250319T115507200000
623,2739.399,46.5050386,9.8017501,2.255,7.821,-4.104,2,110588,-,20250319T115507300000
624,2739.054,46.5050347,9.8017603,2.447,7.908,-4.267,2,110588,-,20250319T115507400000
625,2738.472,46.5050312,9.8017709,2.968,8.424,-4.064,2,110588,-,20250319T115507500000
626,2737.74,46.5050275,9.8017819,3.652,8.93,-4.354,2,110588,-,20250319T115507600000
627,2736.953,46.5050235,9.8017925,4.327,8.825,-4.639,2,110588,-,20250319T115507700000
628,2736.158,46.50502,9.8018027,4.918,8.586,-4.307,2,110588,-,20250319T115507800000
629,2735.442,46.5050167,9.8018138,5.31,8.99,-3.996,2,110588,-,20250319T115507900000
630,2734.817,46.505013,9.8018255,5.482,9.184,-4.292,2,110588,-,20250319T115508000000
631,2734.222,46.5050082,9.801838,5.58,9.753,-5.294,2,110588,-,20250319T115508100000
632,2733.626,46.5050032,9.8018515,5.643,10.38,-5.55,2,110588,-,20250319T115508200000
633,2733.126,46.5049978,9.8018656,5.539,10.719,-6.006,2,110588,-,20250319T115508300000
634,2732.656,46.5049921,9.8018805,5.395,11.244,-6.304,2,110588,-,20250319T115508400000
635,2732.257,46.5049864,9.8018953,5.164,11.145,-6.372,2,110588,-,20250319T115508500000
636,2732.023,46.5049802,9.8019114,4.716,11.883,-6.764,2,110588,-,20250319T115508600000
637,2731.889,46.5049738,9.8019285,4.177,12.633,-7.213,2,110588,-,20250319T115508700000
638,2731.822,46.5049674,9.8019469,3.638,13.602,-7.222,2,110588,-,20250319T115508800000
639,2731.717,46.5049617,9.8019636,3.25,12.681,-6.691,2,110588,-,20250319T115508900000
640,2731.64,46.5049561,9.80198,2.9,12.393,-6.428,2,110588,-,20250319T115509000000
641,2731.707,46.5049499,9.8019968,2.397,12.536,-6.894,2,110588,-,20250319T115509100000
642,2731.516,46.5049441,9.8020136,2.351,12.832,-6.665,2,110588,-,20250319T115509200000
643,2731.133,46.5049381,9.8020296,2.602,12.539,-6.686,2,110588,-,20250319T115509300000
644,2730.606,46.5049323,9.802046,3.041,12.978,-6.535,2,110588,-,20250319T115509400000
645,2730.059,46.5049263,9.8020622,3.45,12.876,-6.695,2,110588,-,20250319T115509500000
646,2729.513,46.5049206,9.8020788,3.81,13.061,-6.573,2,110588,-,20250319T115509600000
647,2728.933,46.5049147,9.8020953,4.182,13.097,-6.683,2,110588,-,20250319T115509700000
