,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,3864.371,45.9233288,7.7257929999999995,1.485,-8.619,-4.4510000000000005,1,111303,SG,20250912T093332400000
1,3864.034,45.9233244,7.725782799999999,1.832,-8.258000000000001,-4.724,1,111303,SG,20250912T093332500000
2,3863.763,45.9233206,7.725771999999999,1.997,-8.554,-4.293,1,111303,SG,20250912T093332600000
3,3863.4790000000003,45.9233173,7.725761299999999,2.157,-8.489,-3.818,1,111303,SG,20250912T093332700000
4,3863.346,45.9233142,7.7257489999999995,2.0100000000000002,-9.276000000000002,-3.553,1,111303,SG,20250912T093332800000
5,3863.251,45.923311,7.725736499999999,1.8150000000000002,-9.567,-3.574,1,111303,SG,20250912T093332900000
6,3863.172,45.9233075,7.725724699999999,1.619,-9.149000000000001,-3.9090000000000003,1,111303,SG,20250912T093333000000
7,3863.06,45.9233043,7.725712399999999,1.524,-9.462000000000002,-3.7,1,111303,SG,20250912T093333100000
8,3862.851,45.9233006,7.7257001999999995,1.629,-9.558000000000002,-3.9970000000000003,1,111303,SG,20250912T093333200000
9,3862.591,45.9232966,7.725687799999999,1.8130000000000002,-9.692,-4.269,1,111303,SG,20250912T093333300000
10,3862.283,45.923293,7.725675099999999,2.051,-10.011000000000001,-3.927,1,111303,SG,20250912T093333400000
11,3861.994,45.923289999999994,7.725662799999999,2.211,-9.736,-3.37,1,111303,SG,20250912T093333500000
12,3861.7850000000003,45.92328739999999,7.7256499,2.1879999999999997,-9.97,-3.072,1,111303,SG,20250912T093333600000
13,3861.605,45.9232854,7.7256354,2.121,-11.166,-2.44,1,111303,SG,20250912T093333700000
14,3861.442,45.923283299999994,7.725621199999999,2.029,-11.021,-2.459,1,111303,SG,20250912T093333800000
15,3861.291,45.923280999999996,7.7256070999999995,1.9249999999999998,-10.983,-2.615,1,111303,SG,20250912T093333900000
16,3861.106,45.923278399999994,7.725593099999999,1.902,-10.911000000000001,-2.83,1,111303,SG,20250912T093334000000
17,3860.8700000000003,45.9232757,7.7255793,1.9759999999999998,-10.799000000000001,-2.932,1,111303,SG,20250912T093334100000
18,3860.627,45.923273699999996,7.725564799999999,2.058,-11.274000000000001,-2.39,1,111303,SG,20250912T093334200000
19,3860.406,45.92327209999999,7.725549999999999,2.08,-11.523000000000001,-1.9240000000000002,1,111303,SG,20250912T093334300000
20,3860.1820000000002,45.92327089999999,7.7255351999999995,2.105,-11.576,-1.451,1,111303,SG,20250912T093334400000
21,3859.937,45.923270099999996,7.7255201,2.17,-11.732000000000001,-0.971,1,111303,SG,20250912T093334500000
22,3859.711,45.923270099999996,7.7255050999999995,2.1879999999999997,-11.745000000000001,-0.24,1,111303,SG,20250912T093334600000
23,3859.572,45.923270699999996,7.7254893,2.036,-12.268,0.33399999999999996,1,111303,SG,20250912T093334700000
24,3859.424,45.9232709,7.7254733,1.926,-12.405000000000001,0.15800000000000003,1,111303,SG,20250912T093334800000
25,3859.254,45.923271199999995,7.7254574,1.879,-12.411000000000001,0.21200000000000008,1,111303,SG,20250912T093334900000
26,3859.037,45.923271299999996,7.7254417,1.928,-12.235000000000001,0.20099999999999996,1,111303,SG,20250912T093335000000
27,3858.785,45.923271299999996,7.7254258,2.032,-12.359000000000002,0.19299999999999995,1,111303,SG,20250912T093335100000
28,3858.564,45.923271899999996,7.7254097999999995,2.0589999999999997,-12.423000000000002,0.5180000000000001,1,111303,SG,20250912T093335200000
29,3858.3309999999997,45.923272299999994,7.725393899999999,2.105,-12.409,0.5850000000000001,1,111303,SG,20250912T093335300000
30,3858.093,45.923272999999995,7.7253779,2.151,-12.430000000000001,0.7900000000000001,1,111303,SG,20250912T093335400000
31,3857.878,45.9232738,7.725361899999999,2.1430000000000002,-12.439,0.861,1,111303,SG,20250912T093335500000
32,3857.6730000000002,45.9232747,7.7253457999999995,2.1210000000000004,-12.484,0.933,1,111303,SG,20250912T093335600000
33,3857.476,45.9232757,7.725329599999999,2.084,-12.543,1.072,1,111303,SG,20250912T093335700000
34,3857.288,45.9232769,7.725313299999999,2.0380000000000003,-12.637,1.315,1,111303,SG,20250912T093335800000
35,3857.1090000000004,45.9232782,7.725296899999999,1.9860000000000002,-12.656,1.395,1,111303,SG,20250912T093335900000
36,3856.931,45.923279699999995,7.725280499999999,1.9430000000000003,-12.721,1.581,1,111303,SG,20250912T093336000000
37,3856.746,45.9232813,7.725263999999999,1.9210000000000003,-12.807,1.721,1,111303,SG,20250912T093336100000
38,3856.5480000000002,45.9232829,7.7252474,1.9300000000000002,-12.88,1.8559999999999999,1,111303,SG,20250912T093336200000
39,3856.367,45.923284599999995,7.725230699999999,1.9030000000000002,-12.933,1.827,1,111303,SG,20250912T093336300000
40,3856.174,45.9232862,7.725213899999999,1.9070000000000003,-13.016,1.8760000000000001,1,111303,SG,20250912T093336400000
41,3855.974,45.9232879,7.725197,1.925,-13.101,1.9100000000000001,1,111303,SG,20250912T093336500000
42,3855.7690000000002,45.9232896,7.72518,1.95,-13.181000000000001,1.9040000000000001,1,111303,SG,20250912T093336600000
43,3855.588,45.9232911,7.7251629,1.921,-13.258000000000001,1.794,1,111303,SG,20250912T093336700000
44,3855.4080000000004,45.9232927,7.725145599999999,1.899,-13.392000000000001,1.7560000000000002,1,111303,SG,20250912T093336800000
45,3855.2200000000003,45.9232942,7.7251281999999994,1.897,-13.466000000000001,1.693,1,111303,SG,20250912T093336900000
46,3855.0370000000003,45.923295599999996,7.725110699999999,1.883,-13.538,1.62,1,111303,SG,20250912T093337000000
